Query,AverageExecutionTime(ms),StdDevExecutionTime(ms),AverageElapsedTime(ms),AverageCompileTime(ms),AverageQueueWaitTime(ms),AverageResultCount,AverageResultSize,AverageProcessedObjects,AverageBufferCacheHitRatio,AverageBufferCachePageReadCount
"use testopen16gb; select similarstring, count(similarstring) as count from testdefopen16gb /*+ hash */ group by testdefopen16gb.similarstring;",8680.0268064,56.483531015684555,8680.1908921,2.5083203999999997,0.0,1.0,149.0,18083796.0,0.0,196172.0
"set `compiler.optimize.groupby` 'false';use testopen16gb; select similarsmallstring, count(similarsmallstring) as count from testdefopen16gb group by testdefopen16gb.similarsmallstring;",10643.287996300001,268.383064235483,10643.447559600001,2.5608693,0.0,1.0,64.0,18083796.0,0.0,196172.0
"set `compiler.optimize.groupby` 'true';use testopen16gb; select similarsmallstring, count(similarsmallstring) as count from testdefopen16gb group by testdefopen16gb.similarsmallstring;",6911.8313421,31.270276379854902,6911.9879757,2.5445085,0.1,1.0,64.0,18083796.0,0.0,196172.0
"use testopen16gb; select similarsmallstring, count(similarsmallstring) as count from testdefopen16gb /*+ hash */ group by testdefopen16gb.similarsmallstring;",7092.055613900001,28.276398503589917,7092.2203721,2.4992167999999997,0.1,1.0,64.0,18083796.0,0.0,196172.0
"set `compiler.optimize.groupby` 'false';use testopen16gb; select normalsmallstring, count(normalsmallstring) as count from testdefopen16gb group by testdefopen16gb.normalsmallstring;",51897.16902439999,1015.241079317469,51897.330992699994,2.554431,0.0,18060883.0,1011409448.0,18083796.0,0.0,196172.0
"set `compiler.optimize.groupby` 'true';use testopen16gb; select normalsmallstring, count(normalsmallstring) as count from testdefopen16gb group by testdefopen16gb.normalsmallstring;",45918.2957657,1163.6759413329316,45918.4535476,2.6290191,0.0,18060883.0,1011409448.0,18083796.0,0.0,196172.0
"use testopen16gb; select normalsmallstring, count(normalsmallstring) as count from testdefopen16gb /*+ hash */ group by testdefopen16gb.normalsmallstring;",117742.19714810001,2233.0687638328814,117742.38273479999,3.0021562999999998,0.0,18060883.0,1011409448.0,18083796.0,0.0,196172.0
"set `compiler.optimize.groupby` 'false';use testopen16gb; select variablelengthstring, count(variablelengthstring) as count from testdefopen16gb group by testdefopen16gb.variablelengthstring;",102247.4958972,2573.173953308365,102247.6502986,2.5528015,0.0,18083796.0,3164927532.0,18083796.0,0.0,196172.0
"set `compiler.optimize.groupby` 'true';use testopen16gb; select variablelengthstring, count(variablelengthstring) as count from testdefopen16gb group by testdefopen16gb.variablelengthstring;",102947.8216006,2924.0430340686125,102947.976762,2.6357131,0.1,18083796.0,3164927532.0,18083796.0,0.0,196172.0
"use testopen16gb; select variablelengthstring, count(variablelengthstring) as count from testdefopen16gb /*+ hash */ group by testdefopen16gb.variablelengthstring;",274312.2971537,4237.280770283853,274312.4570333,2.5114814999999995,0.0,18083796.0,3164927532.0,18083796.0,0.0,196172.0
"set `compiler.optimize.groupby` 'false';use testopen32gb; select ten, count(ten) as count from testdefopen32gb group by testdefopen32gb.ten;",19523.587643,77.89708708287964,19523.7653757,3.4459305999999996,0.0,10.0,370.0,36168131.0,0.0,392342.0
"set `compiler.optimize.groupby` 'true';use testopen32gb; select ten, count(ten) as count from testdefopen32gb group by testdefopen32gb.ten;",13093.0780939,68.17012262202357,13093.2340664,2.6977585,0.1,10.0,370.0,36168131.0,0.0,392342.0
"use testopen32gb; select ten, count(ten) as count from testdefopen32gb /*+ hash */ group by testdefopen32gb.ten;",13394.141383499998,40.201717173006,13394.30356,2.5468563,0.0,10.0,370.0,36168131.0,0.0,392342.0
